"Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","PubMed ID"
"Use of blockchain in the agri-food value chain: State of the art in Spain and some lessons from the perspective of public support.","2023","Telecommunications Policy","4","10.1016/j.telpol.2023.102574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159098652&doi=10.1016%2fj.telpol.2023.102574&partnerID=40&md5=2d8d9702dcbb5db61675d200acd40899","The Common Agricultural Policy (CAP) of the European Union, in effect since January 2023, seeks to differentiate products on quality, provide greater transparency on food origin, and on the transactions and the actors involved in the supply chain. At the same time, in Spain, the adoption of new technologies for the digitization of the agri-food sector has been proposed as a solution to address structural issues such as lack of competitiveness and innovation. In fact, systems using blockchain-related technologies for food control and traceability have seen great progress in recent years and, currently, the use of blockchain in supply chain management is almost doubling year on year. In this context, this paper investigates the level of development of blockchain technology in the agri-food sector in Spain and its applications for certifying food production conditions within the supply chain, and how it is supported by public policies. It identifies several challenges that need to be addressed for a widespread adoption could take place, such as data recorded on the blockchain, lack of standards, limited scope of projects, and integration of data capture automatically or with other technologies like RFID and AI. The document proposes to reorient public development policies to address these challenges, such as reusing data from, already in place, European data collections for production control and food traceability, educating users and stakeholders about the use of blockchain technology, and fostering legal and technical provisions which ensure system transparency to facilitate a successful implementation of blockchain. © 2023 The Authors","Agri-food industry; Agribusiness; Agriculture; Blockchain; CAP; Farm to fork; Food; Production conditions; Public policy; Traceability",""
"The impact of regional ICT development on job quality of the employee in China","2023","Telecommunications Policy","3","10.1016/j.telpol.2023.102567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153888717&doi=10.1016%2fj.telpol.2023.102567&partnerID=40&md5=d5cda325789a6b01d1c0fa400b64ed0a","The paper matches the province-level ICT development with the micro-level data of the China Family Panel Studies (CFPS), uses multiple indicators to measure ICT development and job quality, and investigates the impact of regional ICT development on job quality of the employee. The research conclusions are as follows: First of all, ICT development has a significant positive impact on job quality of the employee. After a series of robustness tests and dealing with endogeneity issues, the research conclusion continues to be valid. Second, when the job quality of the employee is poor, the promotion of ICT development is relatively strong. Third, ICT development has an indirect impact on job quality through the Internet awareness. Finally, ICT development has a relatively strong role in promoting job quality of women, older, non-agricultural, and medium-skill employees. From the policy perspective, in order to improve the job quality of the employee, we suggest promoting ICT development, narrowing the digital gap, increasing investment in education, and taking into account the different characteristics of employees. © 2023 Elsevier Ltd","High-quality employment; ICT development; Internet awareness; Job quality",""
"Breaking the barriers: The impact of health information and cultural factors on immigrant health in the Nordic countries","2023","Library and Information Science Research","0","10.1016/j.lisr.2023.101253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161291348&doi=10.1016%2fj.lisr.2023.101253&partnerID=40&md5=d521c1d8d1584a7b34c09d1e708f929b","Immigrants encounter cultural adaptation challenges impacting their health behaviors and outcomes, with health information and cultural factors influencing their actions. A survey of 340 participants from Finland, Norway, and Sweden was conducted, and the data were analyzed using structural equation modelling. Results show that health beliefs and access to health information, mainly via the Internet, significantly predict immigrants' intentions to engage in health-related actions, while perceived barriers negatively affect their adoption of healthy behavior. The findings underscore the importance of information professionals in providing culturally relevant health information and resources to immigrants and emphasize the need for policymakers to consider cultural factors and information sources in health promotion efforts targeting immigrant populations. This study adds value to the information science literature by highlighting the role of information access and cultural context in shaping health-related actions among immigrants in Nordic countries. © 2023 The Author","Cultural influences; Health information access; Immigrant health behaviors; Information professionals; Nordic countries",""
"The impact of digitalisation on remittances. Evidence from El Salvador","2023","Telecommunications Policy","3","10.1016/j.telpol.2023.102500","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149777404&doi=10.1016%2fj.telpol.2023.102500&partnerID=40&md5=7a66946bdddacf6797acde53bbdd0c92","This paper carries out a microeconomic analysis of the determinants of remittances from a receiving perspective in El Salvador. Specifically, using data from the ‘Encuesta de Hogares de Propósitos Múltiples of 2016’ (2016 Multi-purpose Household Survey -EHPM16), the characteristics of households that affect the reception of remittances in El Salvador in 2016 were analysed, focusing on the level of digitalisation in households. Determinants of remittances are not everlasting and are affected by social and economic changes. In this sense, the effect on remittances caused by an increase in the widespread use of Information and Communication Technologies (ICT) is not an exception. Based on a two steps selection model, the results point out that the household's level of digitalisation significantly increases the probability of receiving remittances, not their amount. © 2023 The Authors","Digitalisation; Endogeneity; Instrumental variables; Migration; Remittances; Two steps selection model",""
"How and why does official information become misinformation? A typology of official misinformation","2023","Library and Information Science Research","2","10.1016/j.lisr.2023.101237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151834904&doi=10.1016%2fj.lisr.2023.101237&partnerID=40&md5=891ce589910f25f4c706d2d78d108b6c","It is important to widen the understanding of misinformation in different contexts. The findings of this qualitative study showed that official information can be misinformation. Official information, which is information concerning and/or coming from official services and processes, was studied with semi-structured interviews in two contexts in which support with information was needed. Four types of misinformation were found: outdated, conflicting, and incomplete information and perceived intimidation. Official information has characteristics related to structural factors, language, and terminology, as well as encounters that make it prone to misinformation. A typology of official misinformation was created to show the nuanced nature of misinformation and the different social, contextual, and situational factors surrounding misinformation. In-person support may be needed to tackle misinformation. Official information can be made clearer and more suited to different groups, which also diminishes the risk of misinformation. © 2023 The Authors","Misinformation; Official information; Qualitative research",""
"An in-depth analysis of the entrepreneurship of rural Chinese mothers and the digital inclusive finance","2023","Telecommunications Policy","7","10.1016/j.telpol.2023.102593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162170685&doi=10.1016%2fj.telpol.2023.102593&partnerID=40&md5=f8289df98688042fb5c01801a7dbb8cc","Rural mothers' entrepreneurial behavior is critical to promoting inclusive rural economic development. However, these women are constrained by family responsibilities, economic substandard and severe financial exclusion. Fortunately, the development of digital inclusive finance has successfully broken such exclusions, thus allowing entrepreneur mothers to achieve some financial success. Applying the 2017 China General Social Survey and the Peking University Digital Inclusive Finance Index, this paper explores the impact of digital inclusive finance on rural mothers' entrepreneurship and the transmission mechanism using the Probit model. In fact, due to digital inclusive finance, rural mothers' entrepreneurship increased by 4.6%. In addition, this paper finds the impact of this digital inclusive finance on entrepreneurship, in general, is more significant on mothers in less developed areas and with high levels of education than on those in developed regions and with low levels of education. Meanwhile, using the transmission mechanism for analysis, the paper found the role of digital inclusive finance in inciting entrepreneurship among rural mothers. This mainly comes through two channels: the gender equality effect and the information learning effect. © 2023 Elsevier Ltd","Digital inclusive finance; Entrepreneurship; Rural mothers; Transmission mechanism",""
"Exploring the role of data enclosure in the digital political economy","2023","Telecommunications Policy","0","10.1016/j.telpol.2023.102599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164376980&doi=10.1016%2fj.telpol.2023.102599&partnerID=40&md5=043292c9624ac5bac9c0ecac9dd60d10","This exploratory research analyzes the impact of data enclosure initiatives on market competition. Data enclosure is the process by which the information about user activity generated by digital operations are withdrawn from an open or shared arrangement with other operators and made more exclusive to the service providers whose operations generate the data. We make the case that data enclosure is emerging as a significant feature of the multi-sided markets of digital platform providers, by looking empirically at, 1) the encryption of DNS query data using the DNS over HTTPS (DoH) protocol, and 2) the enclosure of Apple and Google's mobile identifiers used in digital advertising and cross-app user tracking. These efforts are not only privacy-enhancing moves, but also a means by which service providers compete with each other over the value and security of data. We assess the degree to which exclusivity of data fosters or forecloses competition in the relevant markets, and find mixed results. DoH, apparently a more disruptive form of data enclosure, has had little impact on industry shares so far, primarily because it was embraced by a small-share, declining actor, but the growing use of DoH and other encrypted DNS protocols does indicate a market-driven response to privacy-enhancement. In mobile identifiers in adtech, the shift in the default from opt-out permission to opt-in permission had both strong privacy effects and major effects on the distribution of revenues in the industry. But the changes are recent and the situation remains unsettled. © 2023 Elsevier Ltd","Competition; Data enclosure; Digital political economy; Platforms; Privacy; Property rights",""
"Evaluating the effects of ICT core elements on CO2 emissions: Recent evidence from OECD countries","2023","Telecommunications Policy","7","10.1016/j.telpol.2023.102581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160052967&doi=10.1016%2fj.telpol.2023.102581&partnerID=40&md5=60235176dcba486d9f840b37715108b7","This research aimed to inform policymakers about the actual climate relevance of the information and communication technology (ICT) ecosystem, which includes data centers and content provision, broadband networks, and consumer devices. To provide robust empirical evidence on the net environmental impact of these core ICT elements, we used OECD panel data for 34 Member States for the years 2002–2019 and panel fixed-effects regression models. In contrast to previous literature, we measured basic broadband and new fiber-based wireline broadband and 3G/4G mobile broadband network deployment. We also captured variations in end-user devices, ICT affinity, and famous online content. We found that, on average, the CO2-reducing effects appear to outweigh the CO2-increasing effects. In particular, we found that, in addition to the reduction effect associated with the use of basic broadband connections, there is a further, albeit smaller, reduction effect associated with new fiber-based broadband connections. Other ICT elements showed insignificant coefficient estimates, suggesting largely offsetting environmental impacts. Our main findings were subject to various robustness checks and were broadly consistent with previous literature using data from developed countries. Our results suggested that old and new broadband networks as enabling technology could generate positive environmental effects for society. © 2023 Elsevier Ltd","CO<sub>2</sub> emissions; Digitalization; Electricity consumption; ICT; OECD data; Panel econometrics",""
"Korea's leadership in 5G and beyond: Footprints and futures","2023","Telecommunications Policy","2","10.1016/j.telpol.2023.102613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165318673&doi=10.1016%2fj.telpol.2023.102613&partnerID=40&md5=7ebd66cc358484ef291d9dee12a0caaa","The Korean government has played a crucial role in the development of advanced mobile networks, including 5G. Korea became the first country in the world to not only launch a nationwide 5G network but also to commercialize 5G services. In addition to looking at the steps toward 5G-related developments in Korea, this study used Latent Dirichlet Allocation (LDA) topic modeling analysis to examine how 5G-related discourse was formed in the media after its commercialization. As a result of analyzing news articles in the Korean press with 5G as the main keyword, a total of five topics were derived. Intriguingly, most topics contained several new articles related to government policies. Considering the characteristics of the mobile network industry—e.g. as an industry that receives licenses from the government—this result suggests that 5G-related issues are closely related to government policies. Our topic modeling results confirm that the interventionist promotion policy of the Korean government which acted as a catalyst for technology and business innovation played an important role in Korea's 5G leadership. © 2023 Elsevier Ltd","5G; Korea; Korean government; Leadership; Mobile networks; Topic modeling",""
"Economic growth and broadband access: The European urban-rural digital divide","2023","Telecommunications Policy","11","10.1016/j.telpol.2023.102579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158029142&doi=10.1016%2fj.telpol.2023.102579&partnerID=40&md5=61aaaa5cd146b0d2c570445e344a63e3","This paper estimates the regional effects of high-speed broadband coverage on economic growth in a panel of 1348 regions across all European Union Member States between 2011 and 2018. We distinguish between different connectivity speed levels by aggregating the available regional data across all existing broadband technologies, and investigate how regional differences in the contribution of broadband coverage to real economic growth can quantitatively explain the persistence of the European urban-rural digital divide. In order to make our results robust to endogeneity and disaggregated data availability issues, we employ a bootstrap-based bias correction for the dynamic fixed effects estimator. We find that expansions in the provision of lower-speed broadband access accelerated annual per capita growth in both urban and rural regions through diminishing returns to scale, but that the effects were weaker in those regions characterized by larger ruralization. High-speed broadband coverage, on the contrary, could only be significantly related to rural economic growth and had no impact within their urban counterparts. We find evidence that the costs of these high-speed rural connectivity expansions had not yet been offset, but that they exhibit increasing returns to scale with cut-off levels nearing full coverage. These results indicate that the high-speed digital expansion of rural Europe is a potential gamechanger for further rural development policies through its role as a general-purpose infrastructure, and consequently argue in favour of increased efforts to close the urban-rural digital gap. © 2023 The Authors","Broadband access; Broadband coverage; Digital divide; Regional economic growth; Rural development; Urban-rural digital divide",""
"“They care enough to document people's stories”: Using ethnographic methods to understand collection day outreach events in participatory archives","2023","Library and Information Science Research","1","10.1016/j.lisr.2023.101234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150379893&doi=10.1016%2fj.lisr.2023.101234&partnerID=40&md5=161db0d9a864727b067aeaa35f7fa970","Participatory archive collection day events depend on the involvement of multiple groups of stakeholders who participate in the archives. However, there is little existing research on participatory initiatives that connect institutions to communities beyond literature that focuses on the logistics of such initiatives, making it unclear how archives can best connect to and serve communities through such initiatives. Using ethnographic field data collection and analysis, the role that the in-person collection day event plays in the construction of communities of records and memory in participatory archives was examined. Analysis of ethnographic observation data and semi-structured interviews shows that for participants, a sense of connection to community and to the archives is dependent on the collection day being an in-person outreach event. Findings also show that the event design can make some participants feel welcome while excluding others, possibly limiting the reach of the archives to diverse communities. © 2023 Elsevier Inc.","Archival studies; Collection day events; Community outreach; Ethnographic research methods; Participatory archives",""
"Lifting a regulatory millstone around 5G investors’ neck – 5G network slicing versus EU-net neutrality?","2023","Telecommunications Policy","0","10.1016/j.telpol.2023.102653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172007637&doi=10.1016%2fj.telpol.2023.102653&partnerID=40&md5=95b49c33fdba834327a8fa2126ab4d2c","Highly quality-sensitive 5G use cases, such as metaverse-type applications, connected and autonomous driving or digitalised health applications, are the future of the mobile internet. These use cases will rely on 5G network slicing technology to ensure scalability and individually calibrated Quality of Service (QoS) levels. New electronic communications services ensuring specific QoS levels are subject to EU-net neutrality rules laid down in Regulation (EU) 2015/2120 and are currently being assessed by national regulatory authorities (NRAs) on a case-by-case basis. As acknowledged by the European Commission (EC) in its recent report on the implementation of the provisions of Regulation (EU) 2015/2120, this case-by-case approach results in legal uncertainty and acts as barrier to investments and innovation. In particular, it is often unclear to internet service providers (ISPs) if innovative quality-sensitive content, applications or services may be delivered via specialised services in accordance with Article 3 (5) of Regulation (EU) 2015/2120. The purpose of the article is to show a way to enhance legal certainty in the application of Article 3 (5) of Regulation (EU) 2015/2120 while preserving the fundamental digital rights of end-users regarding equal and non-discriminatory treatment of data traffic by ISPs as well as transparency. Specifically, striking this delicate balance could be achieved by introducing rebuttable presumptions to shift the burden of proving that “optimisation is necessary in order to meet requirements of the content, applications or services for a specific level of quality” (Article 3 (5) subpara. 1 of Regulation (EU) 2015/2120) and that specialised services are “not […] to the detriment of the availability or general quality of internet access services for end-users” (Article 3 (5) subpara. 2 of Regulation (EU) 2015/2120) away from ISPs and towards NRAs. © 2023 Elsevier Ltd","5G network slicing; Legal certainty; Net neutrality; Quality of service; Specialised services",""
"Competitive effects of mergers and of spectrum divestment remedies in mobile telecommunication markets","2023","Telecommunications Policy","0","10.1016/j.telpol.2023.102626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171287520&doi=10.1016%2fj.telpol.2023.102626&partnerID=40&md5=003a8109b827eddcbe6d2d4103ddaaec","Motivated by recent mergers in mobile telecommunications markets, this paper investigates the merger induced effects on consumer surplus in a setting where: (i) the industry is modeled as a triopoly in which firms sell products that are both horizontally and vertically differentiated; (ii) the merging parties are able to pool their spectrum assets; and (iii) the joint management of pooled spectrum assets enables merging parties to offer a better quality service, for which customers are willing to pay more. From a merger policy perspective, our contribution is two-fold. First, we conclude that mergers may benefit consumers even in the absence of any cost-related efficiencies and establish under which circumstances this is more likely to occur. Second, our results also indicate that when the merger has a negative impact on consumer surplus, remedies based on reallocation of spectrum are not very likely to change this outcome. The reason is that the circumstances under which the merger is unlikely to benefit consumers are precisely those under which spectrum reallocation will be unable to fix merger-induced anticompetitive effects. © 2023 The Author(s)","Divestiture; Horizontal differentiation; Mergers; Spectrum assets; Vertical differentiation",""
"The benefits and potential costs of a digital economy","2023","Telecommunications Policy","4","10.1016/j.telpol.2023.102594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162968526&doi=10.1016%2fj.telpol.2023.102594&partnerID=40&md5=2758d30dc6d491d9a767d4346384fe6c","Computerisation, or more generally, digitisation, of an economy has brought about substantial benefits. It has greatly increased productivity. It has significantly advanced both the pace and the scope of economic globalisation and international division of labour. However, digitisation can also enable, through the collection and assembly of individual-consumer-specific information, price discrimination by a seller of a product, which results in the consumer surplus of the buyer being appropriated. Moreover, the widespread use of email and other message application platforms operated by profit-making private enterprises also facilitates the collection and assembly of vast amounts of individual-consumer-specific private information without the explicit and specific consent of the individual consumer, information which can be used to his or her detriment. Possible remedial measures are proposed. © 2023 Elsevier Ltd","Benefits; Costs; Digital economy",""
"The impact of mobile virtual network operators on the mobile telecommunications services market: The case of the Czech Republic","2023","Telecommunications Policy","0","10.1016/j.telpol.2023.102662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173040738&doi=10.1016%2fj.telpol.2023.102662&partnerID=40&md5=b0cd8e671091529e26273e85af88823e","Mobile virtual network operators (MVNOs) offer mobile telecommunications services by purchasing capacity from mobile network operators (MNOs) and competing on the retail market. This study examines national data to identify possible impacts of MVNOs on the mobile market and on mobile service users. While open wholesale markets for MVNOs are relatively widespread in European countries, evidence of their impact on end users is limited due to a lack of previous research. This study uses data from the market entry of MVNOs in the Czech Republic in 2013 to estimate the impact on end users. Based on synthetic control methods, the results clearly show that the market entry of MVNOs led to a decrease in the price of calls and to a decrease in the average monthly revenue per user (ARPU) of operators. However, no significant effect on the price of data or on consumption was found. These results have some implications for policy and for the mobile industry. © 2023 Elsevier Ltd","Competition; Mobile virtual network operator; Technical progress; Telecommunication",""
