"Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","PubMed ID"
"The divergent effects of agent-controlled transparency on corruption latency: Evidence from China","2024","Government Information Quarterly","0","10.1016/j.giq.2024.101942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194326522&doi=10.1016%2fj.giq.2024.101942&partnerID=40&md5=af251b1da42175b473bd7ea5061559c4","The importance of government transparency in reducing corruption has been well documented. However, the effects of different forms of transparency on containing corruption and whether transparency has a blanket effect across all forms of corruption remain less understood. This study examines the impact of agent-controlled transparency on the latency of different types of corruption. Drawing on a dataset of 30,558 corruption-related court judgments in China, this study employs hierarchical linear modeling (HLM) by integrating individual-level data and provincial-level data to yield three major findings. First, agent-controlled transparency is more likely to decrease the concealment of petty corruption than grand corruption. Furthermore, agent-controlled transparency is more likely to reduce the latency of autocorruption than transactive corruption, which is usually disguised in normal social interactions. Third, when the scale and form of corruption are combined into four types, namely petty autocorruption, grand autocorruption, petty transactive corruption, and grand transactive corruption, agent-controlled transparency is more likely to reduce the latent period of petty autocorruption than that of other types. © 2024 Elsevier Inc.","Agent-controlled transparency; China; Corruption latency; Petty corruption; Transactive corruption",""
"The roles of privacy concerns and trust in voluntary use of governmental proximity tracing applications","2023","Government Information Quarterly","11","10.1016/j.giq.2022.101787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144744559&doi=10.1016%2fj.giq.2022.101787&partnerID=40&md5=282a66e1764a798c77fe66dac8625c58","A growing aspect of e-government is healthcare-related. Although preventative e-health services provided by governments like proximity tracing applications (PTAs) can bring important benefits, their adoption is lagging behind expectations. Researchers and policymakers need a better understanding of the factors that influence their adoption. The paper draws from the Unified Theory of Acceptance and Use of Technology (UTAUT) model and extends it by including privacy concerns as an explanatory factor regarding the intention to use PTAs. The study empirically evaluates the impact of privacy concerns together with two of its antecedents – trust in government and trust in technology – on the intention to use a PTA. Data from 762 adult respondents from Slovenia and Germany were collected and analysed using partial least squares structural equation modelling (PLS-SEM). The main findings are: (1) even in the unique context of a PTA the universal predictors of UTAUT have a significant impact; (2) privacy concerns have a direct impact on intention to use; and (3) trust in government and trust in technology both have a significant impact on privacy concerns. The theoretical implications are important for technology adoption research on e-health services provided by the government generally and PTAs in particular. © 2022 Elsevier Inc.","COVID-19; Preventative e-health; Proximity tracing applications; Trust in government; Trust in technology; UTAUT",""
"Framework for interoperable service architecture development","2023","Government Information Quarterly","0","10.1016/j.giq.2023.101869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173234609&doi=10.1016%2fj.giq.2023.101869&partnerID=40&md5=384a8c8cd1feb8bcccca48f3bf792af0","Interoperability is a key success factor for digital public services. Addressing the required interoperability principles in public service architectures is difficult, since a multitude of different layers of interoperability as well as of architecture development must be covered in complex real-world situations. Architecture development frameworks provide an instrument to systematically and holistically design and manage architectures of complex and interoperable digital public service contexts. Interoperable public service architectures resulting from the application of architecture development frameworks further need constant evaluation and modification to keep these architectures relevant and up-to-date. Different methodologies such as the “Design Science Research Methodology” (DSRM) or Enterprise Architecture Frameworks like “The Open Group Architecture Framework” (TOGAF) provide methodical foundations in the creation of interoperable public service solutions. However, these methodologies only target some of the needed aspects at a time. To address this challenge, the paper proposes an agile framework for the design, evaluation, and maintenance of interoperable public service architectures, based on DSRM, TOGAF, and other relevant approaches from literature. The “Framework for Interoperable Service Architecture Development” (FISAD) is designed following the DSRM. FISAD comprises seven phases, which integrate the four interoperability layers put forward in the European Interoperability Framework (EIF) and the architectural design phases (business, data, application and technology architecture) covered in the Architecture Development Method (ADM) of TOGAF in an incremental fashion along the DSRM. To demonstrate how it works, FISAD is applied to the use-case of harmonizing pre-qualification and Digital Purchasing Systems (DPS) processes in the pre-award phase of public procurement. The effectiveness of FISAD is verified on the use-case, providing further insights for the realization of interoperability along a systematic and holistic approach. © 2023 Elsevier Inc.","Agile architecture development; E-procurement; Interoperability; Methodical framework; Public services",""
"Governing in the digital age: The emergence of dynamic smart urban governance modes","2024","Government Information Quarterly","0","10.1016/j.giq.2023.101907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181957417&doi=10.1016%2fj.giq.2023.101907&partnerID=40&md5=033ef14c8701c4e88f818a55b7eafe19","There is growing concern that implementing effective governance constitutes a significant element in cities becoming ‘smart’ due to its multidisciplinarity, complexity of urban challenges and multi-stakeholder involvement. It is assumed that in smart city initiatives, new governance modes arise through the interplay of technological artefacts and political and social factors, viewed through a sociotechnical perspective. We also argue that traditional urban governance modes help explain emerging modes and the nature of citizen-government interactions. Thus, a combination of the sociotechnical view with the modes of urban governance as a theoretical approach was used to understand the dynamics of emerging governance modes in smart city initiatives. Two cases were studied using a longitudinal qualitative case study and temporal bracketing analysis for an in-depth understanding. Our findings evidenced that the configuration of the elements, governance mode, information and communication technology (ICT) and types of citizen-government interaction varies from one initiative to another and changes over time, across multiple sociotechnical networks in practice, which leads to emerging new governance modes. We highlight that a new understanding of smart urban governance for sustainable development in the digital age needs to be developed as a dynamic process. Moreover, we identified two emerging governance modes and proposed a dynamic approach to investigate smart urban governance in other contexts. © 2023","Dynamic; Smart city; Smart urban governance; Sociotechnical networks; Urban governance",""
"Moving beyond privacy and airspace safety: Guidelines for just drones in policing","2023","Government Information Quarterly","2","10.1016/j.giq.2023.101874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176215793&doi=10.1016%2fj.giq.2023.101874&partnerID=40&md5=dee7b843edc4160c329cfb8ff3ced9b5","The use of drones offers police forces potential gains in efficiency and safety. However, their use may also harm public perception of the police if drones are refused. Therefore, police forces should consider the perception of bystanders and broader society to maximize drones' potential. This article examines the concerns expressed by members of the public during a field trial involving 52 test participants. Analysis of the group interviews suggests that their worries go beyond airspace safety and privacy, broadly dis-cussed in existing literature and regulations. The interpretation of the results indicates that the perceived justice of drone use is a significant factor in acceptance. Leveraging the concept of organizational justice and data collected, we propose a catalogue of guidelines for just operation of drones to supplement the existing policy. We present the organizational justice perspective as a framework to integrate the concerns of the public and bystanders into legal work. Finally, we discuss the relevance of justice for the legitimacy of the police's actions and provide implications for research and practice. © 2023 The Authors","Drones; Justice; Law enforcement; Legitimacy; Multicopters; Police; Regulation",""
"Artificial intelligence in government: Concepts, standards, and a unified framework","2023","Government Information Quarterly","10","10.1016/j.giq.2023.101881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176257278&doi=10.1016%2fj.giq.2023.101881&partnerID=40&md5=0dae7faae109d6fe26b96d4cc8f99845","Recent advances in artificial intelligence (AI), especially in generative language modelling, hold the promise of transforming government. Given the advanced capabilities of new AI systems, it is critical that these are embedded using standard operational procedures, clear epistemic criteria, and behave in alignment with the normative expectations of society. Scholars in multiple domains have subsequently begun to conceptualize the different forms that AI applications may take, highlighting both their potential benefits and pitfalls. However, the literature remains fragmented, with researchers in social science disciplines like public administration and political science, and the fast-moving fields of AI, ML, and robotics, all developing concepts in relative isolation. Although there are calls to formalize the emerging study of AI in government, a balanced account that captures the full depth of theoretical perspectives needed to understand the consequences of embedding AI into a public sector context is lacking. Here, we unify efforts across social and technical disciplines by first conducting an integrative literature review to identify and cluster 69 key terms that frequently co-occur in the multidisciplinary study of AI. We then build on the results of this bibliometric analysis to propose three new multifaceted concepts for understanding and analysing AI-based systems for government (AI-GOV) in a more unified way: (1) operational fitness, (2) epistemic alignment, and (3) normative divergence. Finally, we put these concepts to work by using them as dimensions in a conceptual typology of AI-GOV and connecting each with emerging AI technical measurement standards to encourage operationalization, foster cross-disciplinary dialogue, and stimulate debate among those aiming to rethink government with AI. © 2023 Elsevier Inc.","Artificial intelligence; Government; Machine learning; Public administration; Review; Standards; Typology",""
"Exploring the potential and limits of digital tools for inclusive regulatory engagement with citizens","2024","Government Information Quarterly","0","10.1016/j.giq.2023.101901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182373747&doi=10.1016%2fj.giq.2023.101901&partnerID=40&md5=b6c3a3fd30a5bf1f74066b52c99de3e9","Over the past decade, independent regulatory agencies like competition authorities, water and energy regulators have increasingly turned to citizen engagement, including via digital channels. In this study, we seek to shed light on the potential and limits of economic regulators' digital engagement with citizens, compared to traditional, non-digital equivalents. More specifically, we analyse the costs and benefits of four prominent (digital) engagement tools in relation to inclusion, focusing on three key challenges for inclusive citizen engagement: (i) access, (ii) accessible information, and (iii) support in making contributions. Furthermore, we assess the technical, social, and organisational conditions under which the use of the tools can be more inclusive. We conclude that ‘turning digital’ has important advantages for inclusive regulatory engagement but is no panacea. Yet, whilst some challenges cannot be unilaterally tackled by regulators, there is considerable room for these organisations to raise the inclusiveness of their engagement, both by combining tools and modes of engagement, and by expanding their toolbox. © 2023 The Authors","Citizen; Consultation; Engagement; Focus group; Forum; Independent economic regulators; Survey",""
"Automated decision-making and good administration: Views from inside the government machinery","2023","Government Information Quarterly","0","10.1016/j.giq.2023.101864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168344229&doi=10.1016%2fj.giq.2023.101864&partnerID=40&md5=84bdf133f8a1158ed2f30b27960f1887","Use of semi- and fully automated, administrative decision-making in public administration is increasing. Despite this increase, few studies have explicitly analysed its relation to good administration. Good administration is regulations and norms aimed at securing the correctness of administrative decisions as well as the legitimacy of these and is often associated with underlying values such as transparency, equality of treatment and accountability. Based on a thematic analysis of qualitative interviews with 43 key public administration stakeholders in a wide array of policy areas in Denmark, insiders of government machinery are shown to perceive relations between automated decision-making and good administration as manifold. Automated, administrative decision-making is articulated as providing both opportunities for supporting good administration and undermining good administration. Six values of good administration particularly related to automated, administrative decision-making are identified: Carefulness; Respecting-individual-rights; Professionalism; Trustworthiness; Responsiveness and Empowerment. Put simply, risks to good administration can be expected to occur if administrative bodies apply automated, administrative decision-making, while opportunities must be actively nurtured through managerial attention. Despite popular conceptions of the threat of “robotic government”, the conclusions of this study indicate a need for a more pragmatic view of relations of automated, administrative decision-making and good administration balanced between outright techno-optimism and techno-pessimism. © 2023 The Author","Administrative decisions; Automated decision-making; Digital government; Good administration; Techno-optimism; Techno-pessimism; Values",""
"Institutional challenges in agile adoption: Evidence from a public sector IT project","2023","Government Information Quarterly","4","10.1016/j.giq.2023.101858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162919913&doi=10.1016%2fj.giq.2023.101858&partnerID=40&md5=b2c62397255e77544f44a28ff4543b52","Agile is emerging as a promising approach in governments, with the potential to significantly enhance project management when implemented effectively. Despite its potential merits, it has not yet become a mainstream approach in government IT projects, primarily due to the incongruence between Agile practices and conventional methods of project funding, governance, and management. In order to contribute to our understanding of Agile in public sector practice, this study examines an extensive IT program in the UK defense sector which adopted Agile. We applied institutional logics as a theoretical lens to understand the complex dynamics within this environment, investigating the change mechanisms and the enduring tensions and conflicts. Our analysis of interview data revealed the key change mechanisms “mission collaborator” and “one team culture”. Unresolved tensions in our case setting encompass public value versus cost, project approval, policy, governance, and culture. © 2023 The Authors","Agile; Institutional logics; IT projects; Public sector; UK defense",""
"Inclusion interrupted: Lessons from the making of a digital assistant by and for people with disability","2024","Government Information Quarterly","0","10.1016/j.giq.2023.101900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180424615&doi=10.1016%2fj.giq.2023.101900&partnerID=40&md5=3eb47b70efa22966a3df30bffe8149ec","Participatory approaches including co-design are seen as a means to address some of the challenges digital government poses for people with disability, such as unequal access and poor technological design. Yet co-design principles are rarely practiced in a meaningful way for people with disability, resulting in digital government systems that are obstructive and inaccessible to many. This paper explores the opportunities and challenges of disability inclusion through a qualitative case study of participatory digital government in Australia. It centres on the case of “Nadia”, an artificially intelligent virtual assistant created in 2016 through a co-design approach that ultimately ended in failure, as the project never progressed beyond the design stage. Based on research involving interviews with technology developers, government representatives, and people with disability who had input into the design of Nadia, the article makes three main contributions. First, it clarifies conceptually the importance of inclusion as a process, rather than an outcome, of digital government, reframing design as a matter of inclusion. Second, in examining why the project failed, the paper identifies aspects of digital government culture, organization, and practice that impede disability co-design, namely, a lack of institutionalized support and resistance to sharing power. Third, it highlights disability as an area for exploring new possibilities with technology and its limitations, showing the significant role that disabled people play in shaping technology and its advancements. © 2023 The Author","Co-design; Digital government; Disability; Inclusion; Nadia; Virtual assistant",""
"Open data work for empowered deliberative democracy: Findings from a living lab study","2024","Government Information Quarterly","0","10.1016/j.giq.2023.101902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180313875&doi=10.1016%2fj.giq.2023.101902&partnerID=40&md5=b65ae4ac1fdc81221b4eda3a3dd7dd92","Open government data have the potential to facilitate democratic debate and collaboration between government and citizens. This assumes that citizens can effectively use data. However, not all citizens possess these skills. Building on the Empowered Deliberative Democracy Framework, this study examined how open data work - a variety of interventions and activities facilitated by intermediaries - can foster inclusive democratic processes at the local level by using a living lab methodology. Our living lab took place in a vulnerable neighborhood in a city in the Netherlands. Our findings demonstrate that open data work for empowered deliberative democracy requires enhancing the community's awareness and capacity for interpreting and using data about local problems and enabling them to engage in a process of joint learning and deliberation with data intermediaries, government, and other stakeholders. © 2023","Data intermediary; Democracy; Empowerment; Inclusion; Living lab; Open data; Social equity",""
"A privacy risk identification framework of open government data: A mixed-method study in China","2024","Government Information Quarterly","0","10.1016/j.giq.2024.101916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186619460&doi=10.1016%2fj.giq.2024.101916&partnerID=40&md5=9aceeb3699ddc63f50e539fbd472069b","Open government data (OGD) has great potential to promote economic growth, stimulate innovation, and improve service efficiency. However, as more and more private information is collected by government information systems, private data become increasingly vulnerable. Thus, governments must monitor the privacy risks of OGD. The focus of this study is to identify privacy risk factors in the process of developing OGD. Using a mixed-method design, we developed a privacy risk identification framework based on evidence from China. According to the results of qualitative interviews, the privacy risk identification framework mainly includes five risk dimensions: data risk, institutional risk, technical risk, structural risk, and behavioral risk. We identified 17 risk factors under these five dimensions. We further developed the measurement items for each risk factor and verified the indicator framework through quantitative methods. Our research provides a theoretical basis for identifying the privacy risks in OGD, supporting governments in discovering and dealing with them accordingly. Future research can continuously explore potential privacy risks arising from merging technologies such as generative artificial intelligence when applied to OGD. © 2023","Mixed methods; Open government data; Privacy risk identification framework; Privacy risks",""
"The role of digital technologies in global climate negotiations","2023","Government Information Quarterly","0","10.1016/j.giq.2023.101867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169897648&doi=10.1016%2fj.giq.2023.101867&partnerID=40&md5=7823f5c8e1874245a06e36b15b734165","Digital technologies are increasingly used in global climate negotiations to enhance interaction and participation. However, global climate negotiations are characterized by paradoxes and tensions that complicate the resolution of the problem. Thus, the use of digital technologies can only be effective if orchestrated with an understanding of underlying global climate negotiations paradoxes. The objective of this paper is to identify research needs related to the intersection of global climate negotiations, paradoxes, and the use of digital technologies. We propose a research agenda based on paradoxes of global climate negotiations at different levels of online interaction. Two streams of research inform our research agenda: paradox theory and research on online communities. We illustrate our reasoning by discussing digital support for the United Nation's Conference of the Parties (COP) meetings for climate negotiations. The research agenda contributes to the digital governance field by sensitizing the community of the underlying paradoxes in global governance. The combination of online communities research and paradox theory offer novel guidance on complexity and potential challenges when applying digital technologies in global climate negotiations. Our research agenda can be used to develop appropriate response strategies as it highlights challenges in need of attention. © 2023 The Authors","Climate negotiations; Digital global governance; Global governance negotiations; Online communities; Paradox theory",""
