Title,Link,Abstract,ab_content,highlights,hi_content
Sustainable Water Resources Management and Energy Production in Small Mediterranean Islands,https://link.springer.com/article/10.1007/s40710-025-00762-6,Abstract,"The study aims to address the challenges of water scarcity and energy instability faced by small Mediterranean islands, exacerbated by tourism and population fluctuations. A Hybrid Renewable Energy System (HRES) is proposed to provide sustainable solutions by integrating wind turbines, pumped hydro storage, hydrogen storage, and desalination. The methodology involves simulating the systemâ€™s operation in two islands using historical data, wind energy calculations, and energy storage dimensioning. Three scenarios are evaluated: pumped hydro storage, hydrogen storage, and a combination of both, with a focus on covering water and energy demand, while minimizing costs. Results indicate that the combined storage scenario achieves 87% electrical demand satisfaction, surpassing single storage scenarios. Desalination ensures 99.99% water demand coverage across all scenarios, with marginal costs for potable water and energy calculated at 3 â‚?mÂ³ and 0.016â€?.131 â‚?kWh, respectively. The pumped hydro storage method proves more efficient, while hydrogen storage adds flexibility to the system. The findings highlight the adaptability of the proposed HRES for small islands globally, offering a replicable model for addressing the water-energy nexus. The study provides practical insights into integrating renewable energy, innovative storage solutions, and desalination for sustainable development in isolated regions.",Highlights,"
              
              Reliable potable water supply is achieved through innovative desalination.
              Wind turbines paired with energy storage enhance energy reliability for the island.
              Cost-effective solutions address both water scarcity and energy demand.
            "
A Unified Open-Source Metabase Design for Hydro-meteorological Data Descriptive Analysis,https://link.springer.com/article/10.1007/s40710-025-00758-2,Abstract,"Various operators run meteorological stations in the region of Crete, each of which collects important climate data. However, this fragmentation leads to difficulties in integrating and analyzing the data throughout the region. The present work describes the creation of a unified, open-source SQL database for the management of hydro-meteorological data from a large number of monitoring stations in the region of Crete and the development of an infrastructure with a user interface. The characteristics of originality and innovation of the idea lie in the integration and collection of a variety of meteorological and hydrological data from a multitude of independent meteorological and hydrological stations in the region of Crete and their dissemination to the wider scientific community through a multi-user access environment. The integration of the data into a single MySQL database and the user-friendly interaction with the database through Metabase add value to the collected data compared to storage in isolated individual databases or files. The customizable visual representation of the data, the ability to create personalized queries without requiring prior knowledge of database programming, and the possibility of automatic data entry (either via the accredited bodiesâ€?websites or via files in specific formats) are additional original features. By providing clear visual representations of this data, the platform would improve decision-making in critical areas such as flood risk management, drought mitigation and sustainable water resource planning. The introduction of such a consolidated system would simplify hydrological studies, encourage collaboration between data providers and facilitate more informed, data-driven policy making.",Highlights,"
              
              A Unified open-source platform was created for the management of meteorological data.
              The platform incorporates tools for statistical analysis and data visualization.
              Statistical and graphical tools enable users to track data for risk management.
              Monthly open-source data aggregation ensures up-to-date information.
              The platform encourages contributions from the public and private sector.
            "
Ivermectin Mobility in Delta Del ParanÃ¡ Wetlands: Influence of Topography and Soil Geochemical Features,https://link.springer.com/article/10.1007/s40710-025-00760-8,Abstract,"Grazing activities in wetlands ecosystems lead to the alteration of nutrients dynamics and the contamination of soils and waters with veterinary products, among other negative impacts. The objective of this work was to determine the presence and mobility of Ivermectin (IVM), an antiparasite compound used in livestock, in soils from three cattle fields located in the lower Delta del ParanÃ¡. Its mobility was correlated with the content of iron, different fractions of organic matter (OM) and clays. Results indicated that upper and middle zones of fields contained the highest content of clays and hematite (1.51 and 0.35Â g/kg, respectively) and presented the highest amount of labile OM (3.70 and 2.93%, respectively), with 23.50 and 14.25 ppb of IVM, respectively. The low and anaerobic zone with high iron content (25Â g/kg) and no hematite, presented 16 ppm of labile OM and 16.06 ppb of IVM. Results suggested a high mobility of IVM from upper to lower zones, and a high concentration of soluble IVM in the lower zones (2.87 ppb) compared to the upper topographies (0.45 and 1 ppb). The presence of this drug was strongly influenced by its interaction with the type of OM and the mineralogical composition of soils. This is the first time that IVM was reported to be associated to a mobile and soluble fraction of organic matter, representing a threatening situation to water courses. This study allowed to explain the occurrence and fate of the contaminant in wetlands according to the physicochemical characterization of soils.",Highlights,"
              
              High concentrations of ivermectin were found in Delta del ParanÃ¡ wetland soils.
              23.50 ppb of ivermectin were found in the upper zones.
              Around 15 ppb were found in the lower and midhill zones.
              2.78 ppb of soluble ivermectin were found in the lower zones.
              The risk of ivermectin entering water courses may be threatening.
            "
"A Hybrid Mesoporous Sulphur-doped CoMn Oxide @ Cobalt Alginate-derived Carbon Spongy-like Beads for Methylene Blue Decolorization: Isotherm, Kinetic, and Machine Learning Modeling",https://link.springer.com/article/10.1007/s40710-025-00754-6,Abstract,"This study presents the synthesis of hybrid mesoporous sulphur-doped CoMn oxide @ cobalt alginate-derived carbon spongy-like beads (M-CoACBs) to remove methylene blue (MB) dye from aqueous solutions. The M-CoACBs were synthesized through a two-step process, followed by extensive characterization using SEM, EDX-mapping, XPS, XRD, and N2 adsorption-desorption isotherms. The characterization revealed that the sulphur-doped CoMn oxide significantly enhanced the cobalt alginate-derived carbon beadsâ€?structural integrity and surface properties, leading to increased adsorption capacity. The decolorization performance of the M-CoACBs was systematically evaluated and compared to untreated CoACBs. Results showed a remarkable 35% increase in MB removal efficiency with the M-CoACBs, demonstrating the effectiveness of sulphur-doping in improving adsorption capacity. Batch adsorption experiments were conducted to optimize key parameters such as pH, sorbent dose, and initial dye concentration. The optimal conditions were found at pH 7, where the maximum dye removal efficiency was achieved. The adsorption data best fit the Langmuir isotherm (RÂ² = 0.98) and pseudo-second-order kinetic model (RÂ² = 0.99), indicating high capacity and chemisorption. Machine learning (ML) techniques, specifically the Extra Trees algorithm, were employed to predict the adsorption capacity, achieving an RÂ² of 0.999, with error metrics of MSEâ€?â€?.263, RMSEâ€?â€?.513, and MAEâ€?â€?.334. The ML model highlighted the importance of key variables such as initial MB concentration and stirring time. The M-CoACBs exhibited high adsorption capacity and rapid adsorption kinetics, making them a promising material for removing MB dye in wastewater treatment applications. The study highlights the potential of sulphur-doped CoMn oxide as a powerful modification for enhancing the adsorptive properties of carbon-based materials, providing an efficient and sustainable solution to the growing issue of dye pollution in water systems.",Highlights,"
              
              Synergy between sulphur-doped CoMn oxide and alginate-derived carbon yielded enhanced adsorption ability.
              The highest MB-dye removal (â‰¥â€?7.5%) from real agricultural and fabric wastewater samples was achieved at pH 7.00.
              Machine learning models investigated adsorption parameters for better performance.
            "
Cost-Effective Leachate Treatment and Resource Recovery in Hazardous Waste Landfills through Pipe Freeze Crystallization,https://link.springer.com/article/10.1007/s40710-025-00757-3,Abstract,"This study aimed to develop a practical, economically viable solution for treating hazardous landfill leachate using Pipe Freeze Crystallization (PFC) technology. The objective was to concentrate and solidify leachate from an effluent treatment plant processing approximately 8750 m3 annually, achieving resource recovery and environmental compliance. A 300 L h-1 cooling demonstration plant was designed and implemented, incorporating a chiller, a secondary refrigerant mixture (40% ethylene glycol and 60% water), a clarifier, a reactor, and pumps. Îœodelling with OLI software estimated recovery rates for salt and ice, providing a basis for operational adjustments. Leachate samples (2000 L) and concentrate (1000 L) were processed to evaluate the plantâ€™s performance in recovering clean water and Na2SO4. Experimental results confirmed the model predictions, with 302 L of concentrate yielding 102.9 kg of Na2SO4 over 6 h and 273 L of leachate producing 118.7 kg of high-purity ice over 5.5 h. The energy consumption was measured at 171 kWh t-1 of ice, aligning with theoretical predictions for a coefficient of performance of 1. These results validate the efficiency and feasibility of PFC in resource recovery. This study highlights the importance of PFC as a low-cost, energy-efficient technology for hazardous leachate treatment. Its scalability and ability to recover valuable resources such as Na2SO4 and clean water present a sustainable alternative to conventional methods, contributing to zero-waste management goals in waste treatment practices.",Highlights,"
              
              â€?Pipe Freeze Crystallization recovers Na2SO4, NaCl, and clean water from leachate.
              â€?The process is 40% more cost-effective than evaporative-based methods.
              â€?It consists a scalable technology suitable for industrial applications.
              â€?Enables recovery of high-purity salts and water, supporting circular economy goals.
            "
"Wastewater Composition, Resource Assessment, and Reutilization Potential: A Comparative Analysis of Various Treatment Systems in India",https://link.springer.com/article/10.1007/s40710-025-00756-4,Abstract,"In recent years, the goals of wastewater treatment have been expanded beyond pollution reduction to include resource recovery in various forms. Quantifying resource recovery from treated wastewater (TWW) effluent and understanding the reuse potential of specific treatment technologies are critical for implementing long-term reuse plans. This study analyzed five widely used wastewater treatment technologies, namely sequencing batch reactor (SBR), activated sludge process (ASP), moving bed biofilm reactor (MBBR), up-flow anaerobic sludge blanket (UASB), and oxidation pond (OP) using physicochemical analysis, nutrient ratios, and resource estimations. The objective was to quantify resource availability, evaluate nutrient variations, and assess resource utilization potential. Sixteen municipal wastewater treatment plants in the Gangetic basin were selected based on their treatment methods. The analysis of influent and effluent water quality parameters revealed that MBBR demonstrates the highest nutrient removal efficiency, followed by ASP, SBR, UASB, and OP. However, nutrient analysis indicated that OP has the highest reuse potential, while MBBR exhibits the lowest reuse potential. Currently, India reuses 1.55â€‰Ã—â€?0â?mÂ³/year of its generated TWW, though the estimated reuse potential is 76.13 times higher. The study also suggests that utilizing the total TWW effluent for irrigation could significantly reduce Indiaâ€™s fertilizer imports: by 2.79% for nitrogenous fertilizers, 0.74% for phosphate fertilizers, and 6.70% for potassium fertilizers. This research highlights the importance of TWW reuse in enhancing resource recovery and supporting sustainable water management. Optimizing the use of TWW could substantially contribute to environmental sustainability and economic savings.

Graphical Abstract",Highlights,"
              
              Wastewater generation is linked with net state domestic product and population.
              TWW organic and nutrient content decreases from OP to UASB, SBR, ASP, and MBBR.
              Reusing treated wastewater in irrigation can reduce Indiaâ€™s fertilizer imports.
            "
Methodological Framework for the Evaluation of Climate Change Impacts on Rural Basins Using the GR2M Model,https://link.springer.com/article/10.1007/s40710-025-00755-5,Abstract,"The goal of the present work is to introduce a framework to assess climate change impacts on water resources in rural basins. The proposed framework was applied and tested in the Platanovrisi river basin, located in Northern Greece. A hydrological model for the basin was developed and implemented using the GR2M, and calibrated-validated using observed rainfall, temperature and streamflow data. Climate change projections from three climate models and two Shared Socioeconomic Pathways (SSP) scenarios were used as drivers to the calibrated-validated hydrological model to assess the impact of climate change on the hydrological regime of the basin. Climate change impacts were assessed in terms of precipitation, temperature, evapotranspiration, and meteorological drought. Results indicated that, for the period 2015â€?050, the annual precipitation and discharge will decrease by 13â€?3% and 32â€?7%, respectively, while temperature will increase on an average of about 13% (about 1Â Â°C) compared to the reference period (historical period spanning from 1974 to 2014). The results revealed significant changes in the annual and seasonal water flow, with a net reduction in the river flow during winter and spring and a slight increase during autumn and summer. Therefore, difficulties may arise for ensuring hydropower production and storage, agricultural needs and ecological flows. The results revealed significant sensitivity and variability of rainfall, evapotranspiration and river flows based on the climate model and the climate scenario examined. Overall, the proposed framework constitutes a robust approach for the assessment of climate change impacts on water resources in different hydrological regimes, and can be easily modified and applied to diverse watersheds worldwide. In addition, the proposed methodology can help and guide practitioners and decision makers towards adaptation and mitigation efforts for sustainable water management under climate change conditions.",Highlights,"
                
                  A methodology is presented to evaluate climate change impact on hydrology. 
                
                
                  Projections indicate that precipitation and river flow will decrease on annual basis. 
                
                
                  The river flows will decrease substantially in winter and spring.
                
              "
Removal of Volatile Organic Compounds from Gases with Innovative Electrochemically-Assisted Reactive Absorbers,https://link.springer.com/article/10.1007/s40710-025-00750-w,Abstract,"Volatile organic compounds emitted by various industries constitute relevant atmospheric pollutants with a risk to human health. An electrochemically assisted absorption process (electro-absorption) is proposed and evaluated for the treatment of gaseous streams polluted with benzene or xylene as representative VOCs. The main objective of this work is focused on the comparison between the performance of a packed column and a jet mixer as absorption configuration in this electrochemical technology. The results show that the degradation pathway with both configurations is mineralization. The intermediates compounds vary depending on the pollutant, benzoquinone and tolualdehyde are mainly produced in the removal of benzene and xylene, respectively. An increase in the current density applied to the system implies higher removal rates of the pollutants but lower energy efficiencies, with 50Â mA cm-2 being the optimum. Furthermore, it was observed that the jet mixer improves the treatment of gaseous streams with VOCs with low water solubility and volatility (as p-xylene) while the packed column is more effective in treating gases polluted with VOCs with high water solubility and volatility (as benzene). The obtained data allow to establish the technical feasibility and functionality of electro-absorption technology as treatment process to remove VOCs from gas streams, which is meaningful for future research perspectives on scalability, economic evaluation and life cycle analysis to validate and expand the current findings.",Highlights,"
              
              Benzene or p-xylene degradation by electro-absorption occurs through mineralization.
              Intermediates speciation depends on the pollutant, not on the absorption design.
              Percent removal of pollutants in gas streams increases with current density.
              The jet mixer raises the electro-absorption of p-xylene.
              The packed column raises the electro-absorption of benzene.
            "
Perceptions and Attitudes of Drinking Water Supply Systems Staff Towards Climate Change Adaptation for Drinking Water Quality Management,https://link.springer.com/article/10.1007/s40710-025-00749-3,Abstract,"The first objective of this study was to evaluate the perceptions, attitudes, and behaviors of Drinking Water System (DWS) staff in relation to climate change (CC) impacts and adaptation in their roles and responsibilities for managing water quality from the source to the consumerâ€™s tap. The second objective was to explore the determinants or causes attributed to current practices in the use of decision support systems (DSSs) in the context of CC adaptation and drinking water. 316 public servants (staff) from 263 drinking water utilities of Canadian municipalities answered an online questionnaire and subsequently 10 of them participated in focus groups based on a discussion guide developed to follow up on the results of the questionnaire. Results indicate that only 32% of DWSs staff perceive CC adaptation as a priority and most of the focus groups participants admitted practicing it in a curative form whereas prevention would be more beneficial to them. The main challenges they face (especially small municipalities) are related to a lack of manpower and financial capacity. Our results also suggest a need for DWS staff to be introduced to different DSSs that respond to existing concerns. DWSs staff have a lot to gain by adopting DSS tools for CC adaptation. The next step of this study will be to implement a participative process based on hypothetical scenarios to identify levers and barriers to the adoption and use of DSSs in DWSs.",Highlights,"
              
              
                
                  Climate change has serious impacts on drinking water quality.
                
                
                  Perceptions, attitudes and behaviors can delay climate change adaptation.
                
                
                  A preventive adaptation would be more appropriate than the current curative one.
                
                
                  Decision support systems could be useful for drinking water systems adaptation.
                
              
            "
Advancements and Challenges in Roof-Top Harvested Rainwater Filtration: A Review,https://link.springer.com/article/10.1007/s40710-025-00748-4,Abstract,"The primary objective of the study is to provide an analysis of Roof-Top Harvested Rainwater Filtration Systems (RTHRWFS), importantly emphasising the findings that will be pivotal for future innovation and development in filtration technologies for a promising and effective adaptation of RTHRWFS by the masses. The work addresses a gap in the global Roof-top Rainwater Harvesting (RTRWH) implementation using detailed Prismatic and Bibliometric Analysis. The study has thoroughly examined distinct technical approaches, the structural cost, and public consciousness hindering global acknowledgement of RTRWH systems. It discusses the influence of the composition of rainwater, roof materials, and implementation of the first flush on the concentration of roof runoff. Further, our study delves into the probable areas of the sustainability and pursuance of these practices, potential improvement in existing system designs, and possible proficiency gaps. The work presents a framework for evaluating the sustainability of roof-top harvested rainwater intending towards high (installation, operation and maintenance) cost, less public recognition, low filtration rate, liability towards microbiological contamination etc. It also points out the symbolic roadblocks pertinent to skills and technological implementation, hence curtailing the extensive adaption of these systems globally. Our paper reiterates the critical areas in filtration technologies, focusing on the evolution of competent, economic and sustainable filtration methodologies catering to the long-term storage needs and diverse demands along with ensuring public awareness related to contaminants primarily present in rainwater, reassuring embracement of filtration systems for better domestic and potable use.",Highlights,"
              
              We present a framework for evaluating the sustainability of Roof-top Harvested Rainwater.
              The need for accomplished filtration systems for filtering Roof-top Harvested Rainwater is emphasised.
              Critical areas for future research in harvested rainwater filtration technologies are highlighted.
            "
A Screening Guide for Efficient Acid Dyes Adsorbents,https://link.springer.com/article/10.1007/s40710-025-00746-6,Abstract,"Many non-conventional and synthetic adsorbents are examined for removing toxic acid dyes from solutions. The main aim of this work is to introduce a screening guide to select the most practical adsorbents for acid dyes. To achieve this aim, the optimum adsorption conditions for acid dye uptake, including adsorbent dosage, pH, contact time, and recycling are gathered. Forty-nine adsorbents of a high binding capacity, 150â€?200Â mg/g, for acid dyes were collected from the literature. The screening guide was based on four criteria: (a) adsorption capacity should be very high; (b) the adsorbent should be used for many cycles; (c) the adsorbent should be efficient at low dosage; and (d) the uptake process should be accomplished in a short time. The results of screening indicated that magnetic-chitosan outperforms other adsorbents with an uptake capacity of 1667Â mg/g for Acid Violet 19, is usable for three cycles with a final efficiency of 100%, and operates at a low dosage of 0.04Â g/L. The relationship between adsorption capacity and surface properties of adsorbents, including specific surface area and pore volume, is modest, indicating that the uptake process was not simple; physical and chemical interactions controlled the entire process.",Highlights,"
              
              â€?High grade adsorbents for acid dyes are examined to build a guide to select the most efficient ones.
              â€?Recycling of the adsorbent is one of the most significant criteria to select the adsorbent.
              â€?The proposed guide is able to select seventeen adsorbents from the examined materials.
              â€?Chitosan composites are the winner adsorbents with a high capacity and used for many cycles.
            "
The Influence of Urban Morphology and Meteorological Factors on Vertical Thermohygrometric Distributions in a Mid-Sized Latin American City,https://link.springer.com/article/10.1007/s40710-025-00745-7,Abstract,"The aim of this work was to study the vertical distributions of temperature and humidity in a central urban canyon in BahÃ­a Blanca (Argentina) at different temporal scales. Temperature and humidity data were collected via data loggers placed at two different heights (5Â m and 51Â m) on one of the tallest buildings in the city. Fourteen months of continuous data (March 2019 - April 2020) were statistically analyzed, considering both descriptive and inferential approaches. Additionally, meteorological data from a local weather station were used to account for background climatic conditions. The results revealed that the urban structure played a key role in defining the vertical thermal profiles at different time scales (annual, summer, and winter). Weak synoptic flow and clear skies favor the development of thermal inversions, with more pronounced gradients observed at night under low wind speeds and minimal cloud cover. Understanding the vertical variation in heat and moisture within urban canyons is essential for developing microclimatic rehabilitation strategies, particularly to mitigate the urban heat island effect and promote sustainable urban development. This knowledge can also inform the design of heating, ventilation, and air conditioning systems, ensuring that they are optimized for the specific microclimatic conditions present at different heights within densely built areas.",Highlights,"
              
              

                
                  The study of the urban canyon structure revealed its influence on vertical daily hygrothermal patterns.
                
                
                  Clear skies boost thermal range, heighten gradient, and intensify inversions.
                
                
                  Under calms and low winds, thermal inversions occur at dusk, night and early morning.
                
              
            "
A Methodology Simplifying River Habitat Quality Assessment through Regression Analysis: Application in Slovakia,https://link.springer.com/article/10.1007/s40710-025-00747-5,Abstract,"In the past, river restoration mainly focused on flood protection and somewhat ignored the degradation of river ecosystems, e.g., the habitats of river organisms. In recent decades, however, there has been an increased effort to carefully assess the quality of aquatic habitats as well. The authors have collected data from mountain and sub-mountain streams, including the habitat preferences of fish, topographic surveys, hydrometric measurements, and hydraulic modelling. These data were used to model the quality of stream habitats using the System of Environmental Flow Analysis (SEFA). SEFA, however, may be perceived as impractical for routine usage since the data it requires are extensive and time-consuming to obtain. For simplification, a regression analysis was conducted using only part of SEFAâ€™s input data to balance reliability and data requirements of the computations. The general contributionÂ of the paper is a demonstration of working with small datasets, addressing the challenges of analyzing the quality of river habitat through techniques such as boosting and regularization in regression analyses. The study confirmed a satisfactory agreement between the SEFA modelâ€™s results and the proposed regression methods, especially when using the boosting machine learning algorithm for the regression analysis (with a correlation of 0.9). The regression method significantly reduced the input data necessary to evaluate the quality of a habitat compared to the SEFA model. This permits an assessment of the ecological state of streams not only in a scientific context, but also in standard engineering practice.",Highlights,"
              
              â€?A simpler methodology than SEFA is proposed for evaluating aquatic habitats.
              â€?The proposed method is less data-demanding and better suited for practical use.
              â€?Regression analysis and machine learning are used to simplify the habitat evaluations.
              â€?An original methodology for working with small datasets is proposed.
            "
Mobility of Sediment and Phosphorus in a Small Stream During Artificial Flood Wave,https://link.springer.com/article/10.1007/s40710-025-00744-8,Abstract,"This study investigates the dynamics of sediment and phosphorus transport in small streams affected by recurrent flood waves. The experiments were carried out in two streams with contrasting conditions: one in an agricultural headwater section, which serves as a sediment source, and the other in a mid-water section influenced by fish ponds. High-frequency data on suspended sediment and phosphorus concentrations were collected during several flood waves to assess how floods affect the transport regime, including the role of small reservoirs. The results showed that even initially clear water can mobilize significant amounts of sediment from the riverbed when discharge increases. Sediment mobilization was strongest at the beginning of the flood wave, with concentrations peaking early and then decreasing. Successive floods without additional sediment input led to a decrease in sediment concentrations, as the stream had already flushed out the available sediments. Hysteresis loops showed that most of the sediment transport occurred during the rising part of the flood wave, indicating that the sediment originated from the nearby streambed areas. Phosphorus was mobilized simultaneously with the sediment, and an almost linear relationship was observed between sediment concentration and total phosphorus (râ€?â€?.979, pâ€?â€?.0001). However, only a fraction of the phosphorus was dissolved, so most of the phosphorus was bound to the sediment particles. Soluble reactive phosphorus showed a weaker correlation with sediment concentration (râ€?â€?.272, pâ€?â€?.047). This shows how important it is to consider both sediment dynamics and phosphorus mobilization in event-based flood models.",Highlights,"
              
              Even clear water mobilizes sediments when runoff increases during floods.
              Clockwise hysteresis loops indicate sediment coming mainly from the nearby streambed areas.
              Most of the phosphorus remains bound to particles, only a little is dissolved.
              Similar sediment-phosphorus regimes were observed in the upper and middle reaches.
            "
Mapping and Assessment of Groundwater Dependent Ecosystems (GDEs) Services â€?An Expert-based Land Use/Land Cover Scoring Approach,https://link.springer.com/article/10.1007/s40710-025-00743-9,Abstract,"Threats on groundwater quantity and quality impose the need for monitoring and protection of Groundwater Dependent Ecosystems (GDEs) and their related services. The present study aims to the development of a GDEs and related services management framework, with emphasis on preliminary but practical monitoring and mapping tools, such as the Groundwater Footprint (GWF) and the land-scoring mapping technique. The main objectives of the paper are to: (a) provide an overview on existing GDEs and related services monitoring tools, as well as on the related legislation; (b) propose a GDEs services classification in order to set the basis for a common language and framework; (c) link GDEs services with UN Sustainable Development Goals; and (d) further elaborate the GWF concept based on the land use/land cover matrix assessment. In this context, an expert opinion survey on the links between land uses and the two major groundwater-related components of GWF (i.e., groundwater abstraction C and groundwater contribution to the environmental flow E) was conducted. Policymakers may use the survey findings as a tool to map GDEs services such as supply potential. Additionally, the developed assessment matrices provide information on potential hotspots of anthropogenic activities impacting components C and E.",Highlights,"
              
              A classification framework of groundwater-dependent ecosystem services is proposed.
              Groundwater-dependent ecosystem services are linked with UN SDGs.
              Links among ecosystem services and land uses are identified.
              An expert-scoring mapping method is developed.
            "
Polyaniline-Modified Fibrous Nanosilica: a Thermally Stable and Highly Effective Adsorbent Towards Simulated and Real Water Samples,https://link.springer.com/article/10.1007/s40710-024-00741-3,Abstract,"In this work, polyaniline (PANI) functionalized fibrous porous silica nanoparticles (KCC-1 NPs) namely KCC-1/PANI nanocomposite with good surface area (391 m2 gâˆ?) and adsorption capacities have been successfully developed by the hydrothermal method followed by in-situ polymerization technique. The KCC-1/PANI was characterized using various techniques, including FE-SEM, FT-IR, XRD, TGA-DTA, BET, and Zeta potential analyses. The adsorption mechanism and kinetics were investigated, and thermodynamic studies were conducted to understand the nature of the adsorption process. The morphological characterization shows wrinkle shaped, fibrous type KCC-1 NPs. According to the TGA results, KCC-1/PANI withstands the temperature upto 470 â„?with weight loss of only 35%. The maximum adsorption capacity (qmax) of KCC-1/PANI against Crystal violet (CV) was 456.62 mg gâˆ? (obtained from Langmuir model). Adsorption mechanism investigation disclosed that the sorption of CV dye onto KCC-1/PANI was ascribed because of Ï€-Ï€ and electrostatic interactions, and hydrogen bonding (dipole-dipole interaction and Yoshida bonding) between hydrogen containing functional groups (hydroxyl and amine) of the KCC-1/PANI and CV molecules. Adsorption process strictly fulfilled pseudo-second-order kinetic model. Thermodynamic studies revealed that the CV adsorption on KCC-1/PANI is endothermic process with Î”HÂ° = 9.11Â kJ molâˆ? and spontaneous as value of Î”GÂ° is negative at all temperatures (Î”GÂ° = -9.29 to -11.15Â kJ molâˆ?). In conclusion, KCC-1/PANI is a highly effective material for the removal of cationic dye pollutants, specifically CV dye, from aqueous solutions. Batch adsorption tests confirmed the KCC-1/PANI efficacy in treating real wastewater samples also. This research highlights the potential of KCC-1/PANI as an exquisite material for environmental remediation applications.",Highlights,"
              
              
                
                  KCC-1 NPs and KCC-1/PANI nanocomposites were prepared and characterized.
                
                
                  The morphological study confirm wrinkle shaped, fibrous type KCC-1 NPs.
                
                
                  KCC-1/PANI were characterized using SEM, TEM, FT-IR, XRD, TGA.
                
                
                  Selective adsorption of Crystal violet dye has been assessed in detail.
                
                
                  Ï€-Ï€/electrostatic interactions and hydrogen bonding are dominant for the adsorption.
                
              
            "
Optimization of Alum Sludge-Enhanced Pervious Concrete Filters for Amoxicillin Removal from Aqueous Solutions,https://link.springer.com/article/10.1007/s40710-024-00730-6,Abstract,"This study investigates the performance of Alum Sludge-Enhanced Pervious Concrete Filters (ASPCFs) as a sustainable and cost-effective solution for removing amoxicillin (AMX) from aqueous solutions. By leveraging alum sludge as a daily waste material from water treatment plants, this approach promotes environmental remediation and resource recycling. Six filters were manufactured, each containing a uniform amount of pervious concrete and varying amounts of alum sludge (0â€?5Â kg/mÂ³). The AMX-containing water was allowed to flow through the filters under gravity. Key parameters such as alum sludge content, pH value, dissolved oxygen (DO), and chemical oxygen demand (COD) were monitored. The adsorption kinetics and isotherms were analyzed to understand the removal mechanisms. The results revealed that the ASPCF (M5) with 25Â kg/mÂ³ alum sludge achieved a remarkable 97.14% AMX removal rate over thirteen days of continuous operation. Significant COD removal performance was also observed, with an average removal rate of 86.11% for the ASPCF (M5) at the same alum sludge content (25Â kg/mÂ³). The adsorption kinetics followed the pseudo-second-order model, and the Freundlich isotherm provided the best fit for the adsorption data. ASPCF M5, with a treatment cost of $0.009 per g AMX removed and an AMX removal efficiency of 97.14%, is a cost-effective and competitive technique for wastewater treatment.Â Â ",Highlights,"              â€?ASPCFs with 25Â kg/mÂ³ alum sludge achieved 97.14% amoxicillin removal.
              â€?ASPCFs showed 86.11% COD removal, outperforming conventional sand filters.
              â€?Amoxicillin adsorption fits the Freundlich model and pseudo-second-order kinetics.
              â€?Alum sludge enhances adsorption capacity and maintains stable pH and DO levels.
              â€?ASPCFs are cost-effective and sustainable for water treatment.
              
            "
Optimizing Electrocoagulation for Polystyrene Microplastics Removal via Magnetic Separation,https://link.springer.com/article/10.1007/s40710-024-00739-x,Abstract,"This study investigated the effectiveness of electrocoagulation (EC) using iron electrodes to treat pure water and secondary effluent water contaminated with microplastics (MPs), and specifically polystyrene (PS). This research characterizes the composition and structure of the sludge formed during EC at different current densities and electrolysis times via techniques such as infrared spectroscopy, X-ray diffraction, and MÃ¶ssbauer spectroscopy. Special attention is given to the formation of magnetite, a magnetic compound critical for the rapid recovery of coagulated MPs. The findings demonstrate that at intermediate current densities (5Â mA cmâ€?), EC effectively removes 100% of the MPs from distilled water containing 50 mg Lâˆ’â€? PS within 5Â min when a magnet is used to collect the precipitate. In contrast, EC-treated wastewater has a lower recovery rate of MPs, achieving only 40% removal after 30Â min and 80% removal after 720Â min. This reduced efficiency is attributed to the absence of magnetite formation and the presence of nonmagnetic compounds such as goethite and lepidocrocite. This study highlights the critical role of magnetite in the efficient recovery of MPs during EC. While EC is highly effective for pure water, the process requires optimization for wastewater treatment because of the different nature of the by-products formed.",Highlights,"
              
              Magnetite formation is the key to 100% removal of microplastics by EC.
              The efficiency of microplastics removal by EC is increased with the use of a magnet.
              EC was optimized to remove PS at a concentration of 50 mg Lâˆ’â€? at 5 mA cmâˆ’â€? for 15Â min.
              Lepidocrocite formation in wastewater limits microplastics recovery efficiency.
            "
